Mathematics Skill,Science Skill,Literature Skill,History Skill,Art Skill,Computer Science Skill,Analytical Skills,Creative Skills,Leadership Skills,Technical Skills,Communication Skills,Interest in an Office Job,Interest in Outdoor Work,Interest in Laboratory Work,Interest in Remote Work,Interest in Working with People,Interest in Working with Technology,Interest in Working with Nature,Industry
6,2,8,8,8,4,7,9,5,6,7,7,6,3,9,10,5,4,Advertising
7,7,6,8,4,8,7,7,9,6,10,10,3,7,6,7,6,3,Business
9,10,4,4,6,7,10,7,7,10,7,10,5,10,8,5,10,2,Aerospace
10,8,2,3,3,7,8,5,8,8,7,7,7,10,9,5,9,5,Engineering
7,3,8,7,3,5,10,5,8,7,8,8,5,4,6,8,3,2,Legal Services
4,5,5,8,4,6,6,5,10,4,7,7,3,4,5,10,7,4,Public Administration
5,5,5,2,6,6,6,5,8,8,6,6,3,8,5,7,8,2,Manufacturing
6,7,6,6,8,8,7,7,6,6,9,7,6,5,7,10,5,6,Educational
6,5,5,3,4,3,7,4,8,7,5,3,10,6,4,5,6,6,Construction
3,5,5,3,8,4,5,6,6,6,7,3,5,3,5,8,3,8,Food
10,10,3,4,3,7,8,5,6,7,4,9,3,7,9,5,9,4,Mathematics
8,10,5,4,7,8,10,6,8,8,9,9,3,8,6,8,8,2,Aerospace
10,10,5,4,3,8,8,5,5,7,7,8,3,10,9,7,7,2,Mathematics
10,9,3,4,2,8,10,5,7,8,5,8,4,9,8,4,10,2,Mathematics
10,10,6,7,7,9,10,5,9,10,9,8,3,10,8,7,9,5,Aerospace
10,7,4,3,3,9,8,6,6,8,7,8,1,7,10,6,10,3,Cybersecurity
5,2,5,6,6,5,6,9,8,4,7,8,5,3,8,9,5,2,Retail
10,8,3,3,2,9,8,4,7,8,7,7,2,10,9,6,10,3,Mathematics
8,8,3,5,4,8,8,7,8,9,6,6,3,9,5,7,10,6,Chemistry
8,7,2,5,3,10,10,7,8,10,6,9,5,10,8,8,10,5,Engineering
4,3,6,4,7,5,7,8,9,5,8,9,6,5,6,7,4,4,Retail
